data,classifier,criterion,percentageLabeled,thresholdOrKBest,iteration,LabeledInitial,UnLabeledInitial,LabeledFinal,UnLabeledFinal,percentageLabeledFinal,accuracy,AUC,PR,F1score
heart,ST-RF-Spark,threshold,0.6,0.7,5,124,77,190,12,0.844155844,0.836164596,0.828204573,0.81059147,0.805556082
heart,ST-RF-Spark,threshold,0.6,0.8,5,124,77,176,25,0.675324675,0.826239648,0.824318579,0.779775252,0.804707334
heart,ST-RF-Spark,threshold,0.6,0.9,5,124,77,156,46,0.402597403,0.837712215,0.831554649,0.80467404,0.813351516
heart,ST-RF-Spark,threshold,0.6,0.95,5,124,77,142,59,0.233766234,0.816656315,0.813318621,0.769648592,0.79
heart,ST-NB-Spark,threshold,0.05,0.7,3,7,195,202,0,1,0.641475155,0.632865408,0.57242945,0.584787861
heart,ST-NB-Spark,threshold,0.05,0.8,3,7,195,201,0,1,0.641475155,0.632865408,0.57242945,0.584787861
heart,ST-NB-Spark,threshold,0.05,0.9,4,7,195,200,2,0.98974359,0.645098344,0.637032075,0.576002556,0.591291188
heart,ST-NB-Spark,threshold,0.05,0.95,4,7,195,197,5,0.974358974,0.644808489,0.636771658,0.575738602,0.590578822
heart,ST-NB-Spark,threshold,0.15,0.7,2,32,170,202,0,1,0.676733954,0.672520469,0.606062279,0.639377987
heart,ST-NB-Spark,threshold,0.15,0.8,4,32,170,201,1,0.994117647,0.673400621,0.668614219,0.602893277,0.633957574
heart,ST-NB-Spark,threshold,0.15,0.9,4,32,170,201,1,0.994117647,0.676733954,0.671521196,0.607896356,0.636689815
heart,ST-NB-Spark,threshold,0.15,0.95,5,32,170,199,2,0.988235294,0.673400621,0.667614946,0.604664709,0.631040097
heart,ST-NB-Spark,threshold,0.3,0.7,4,64,138,201,1,0.992753623,0.711130952,0.703086697,0.652188541,0.66214678
heart,ST-NB-Spark,threshold,0.3,0.8,4,64,138,201,1,0.992753623,0.711130952,0.703086697,0.652188541,0.66214678
heart,ST-NB-Spark,threshold,0.3,0.9,5,64,138,200,2,0.985507246,0.707797619,0.70017972,0.646401504,0.659224512
heart,ST-NB-Spark,threshold,0.3,0.95,5,64,138,199,3,0.97826087,0.700892857,0.694067615,0.635972329,0.653491139
heart,ST-NB-Spark,threshold,0.6,0.7,2,124,77,202,0,1,0.714412526,0.703071323,0.665015347,0.655780494
heart,ST-NB-Spark,threshold,0.6,0.8,3,124,77,201,1,0.987012987,0.717745859,0.706977573,0.668047502,0.66162465
heart,ST-NB-Spark,threshold,0.6,0.9,5,124,77,199,3,0.961038961,0.711079193,0.700164346,0.658158179,0.652696078
heart,ST-NB-Spark,threshold,0.6,0.95,5,124,77,196,6,0.922077922,0.714412526,0.703071323,0.665015347,0.655780494
wisconsin,ST-DT-Spark,threshold,0.05,0.7,1,27,485,512,0,1,0.889476073,0.890270178,0.800450983,0.847337812
wisconsin,ST-DT-Spark,threshold,0.05,0.8,1,27,485,512,0,1,0.889476073,0.890270178,0.800450983,0.847337812
wisconsin,ST-DT-Spark,threshold,0.05,0.9,1,27,485,512,0,1,0.889476073,0.890270178,0.800450983,0.847337812
